Station,Time,Lat,Lon,Max Gust (mph),x,y
08D,2023-02-17 10:00:00+00:00,48.3008,-102.4064,10,-11399828.30197229,6157043.928219101
08D,2023-02-17 11:00:00+00:00,48.3008,-102.4064,14,-11399828.30197229,6157043.928219101
08D,2023-02-17 12:00:00+00:00,48.3008,-102.4064,15,-11399828.30197229,6157043.928219101
08D,2023-02-17 13:00:00+00:00,48.3008,-102.4064,15,-11399828.30197229,6157043.928219101
08D,2023-02-17 14:00:00+00:00,48.3008,-102.4064,13,-11399828.30197229,6157043.928219101
08D,2023-02-17 15:00:00+00:00,48.3008,-102.4064,22,-11399828.30197229,6157043.928219101
08D,2023-02-17 16:00:00+00:00,48.3008,-102.4064,25,-11399828.30197229,6157043.928219101
08D,2023-02-17 17:00:00+00:00,48.3008,-102.4064,32,-11399828.30197229,6157043.928219101
08D,2023-02-17 18:00:00+00:00,48.3008,-102.4064,31,-11399828.30197229,6157043.928219101
08D,2023-02-17 19:00:00+00:00,48.3008,-102.4064,20,-11399828.30197229,6157043.928219101
08D,2023-02-17 20:00:00+00:00,48.3008,-102.4064,24,-11399828.30197229,6157043.928219101
08D,2023-02-17 21:00:00+00:00,48.3008,-102.4064,26,-11399828.30197229,6157043.928219101
0A9,2023-02-16 22:00:00+00:00,36.3712,-82.1734,10,-9147501.044751987,4351818.866831317
0A9,2023-02-17 09:00:00+00:00,36.3712,-82.1734,14,-9147501.044751987,4351818.866831317
0A9,2023-02-17 10:00:00+00:00,36.3712,-82.1734,10,-9147501.044751987,4351818.866831317
0A9,2023-02-17 12:00:00+00:00,36.3712,-82.1734,16,-9147501.044751987,4351818.866831317
0A9,2023-02-17 13:00:00+00:00,36.3712,-82.1734,12,-9147501.044751987,4351818.866831317
