Station,Time,Lat,Lon,1 Hour Precipitation,x,y
2W6,2023-02-17 17:00:00+00:00,38.3154,-76.5501,0.01,-8521518.152174171,4624077.5686156135
2W6,2023-02-17 18:00:00+00:00,38.3154,-76.5501,0.02,-8521518.152174171,4624077.5686156135
2W6,2023-02-17 19:00:00+00:00,38.3154,-76.5501,0.14,-8521518.152174171,4624077.5686156135
2W6,2023-02-17 20:00:00+00:00,38.3154,-76.5501,0.04,-8521518.152174171,4624077.5686156135
35A,2023-02-17 12:00:00+00:00,34.687,-81.6412,0.03,-9088256.811751805,4121426.629132225
35A,2023-02-17 13:00:00+00:00,34.687,-81.6412,0.08,-9088256.811751805,4121426.629132225
35A,2023-02-17 14:00:00+00:00,34.687,-81.6412,0.04,-9088256.811751805,4121426.629132225
35A,2023-02-17 15:00:00+00:00,34.687,-81.6412,0.04,-9088256.811751805,4121426.629132225
35A,2023-02-17 16:00:00+00:00,34.687,-81.6412,0.01,-9088256.811751805,4121426.629132225
3R7,2023-02-17 00:00:00+00:00,30.2427,-92.6735,0.01,-10316366.83003044,3534784.9690181236
3R7,2023-02-17 01:00:00+00:00,30.2427,-92.6735,0.01,-10316366.83003044,3534784.9690181236
3R7,2023-02-17 02:00:00+00:00,30.2427,-92.6735,0.03,-10316366.83003044,3534784.9690181236
40B,2023-02-17 00:00:00+00:00,46.609,-69.531,0.0001,-7740155.514347105,5878484.821361471
40B,2023-02-17 10:00:00+00:00,46.609,-69.531,0.01,-7740155.514347105,5878484.821361471
40B,2023-02-17 11:00:00+00:00,46.609,-69.531,0.05,-7740155.514347105,5878484.821361471
40B,2023-02-17 12:00:00+00:00,46.609,-69.531,0.08,-7740155.514347105,5878484.821361471
40B,2023-02-17 13:00:00+00:00,46.609,-69.531,0.07,-7740155.514347105,5878484.821361471
40B,2023-02-17 14:00:00+00:00,46.609,-69.531,0.09,-7740155.514347105,5878484.821361471
40B,2023-02-17 15:00:00+00:00,46.609,-69.531,0.12,-7740155.514347105,5878484.821361471
40B,2023-02-17 16:00:00+00:00,46.609,-69.531,0.08,-7740155.514347105,5878484.821361471
40B,2023-02-17 17:00:00+00:00,46.609,-69.531,0.11,-7740155.514347105,5878484.821361471
40B,2023-02-17 18:00:00+00:00,46.609,-69.531,0.13,-7740155.514347105,5878484.821361471
40B,2023-02-17 19:00:00+00:00,46.609,-69.531,0.08,-7740155.514347105,5878484.821361471
40B,2023-02-17 20:00:00+00:00,46.609,-69.531,0.06,-7740155.514347105,5878484.821361471
40B,2023-02-17 21:00:00+00:00,46.609,-69.531,0.05,-7740155.514347105,5878484.821361471
48A,2023-02-17 14:00:00+00:00,32.3994,-83.2759,0.08,-9270230.78335157,3815853.026705068
48A,2023-02-17 15:00:00+00:00,32.3994,-83.2759,0.11,-9270230.78335157,3815853.026705068
48A,2023-02-17 16:00:00+00:00,32.3994,-83.2759,0.14,-9270230.78335157,3815853.026705068
48A,2023-02-17 17:00:00+00:00,32.3994,-83.2759,0.02,-9270230.78335157,3815853.026705068
48A,2023-02-17 18:00:00+00:00,32.3994,-83.2759,0.02,-9270230.78335157,3815853.026705068
49A,2023-02-17 03:00:00+00:00,34.6301,-84.5271,0.11,-9409513.730232114,4113726.141729457
49A,2023-02-17 04:00:00+00:00,34.6301,-84.5271,0.13,-9409513.730232114,4113726.141729457
49A,2023-02-17 05:00:00+00:00,34.6301,-84.5271,0.18,-9409513.730232114,4113726.141729457
49A,2023-02-17 06:00:00+00:00,34.6301,-84.5271,0.33,-9409513.730232114,4113726.141729457
49A,2023-02-17 07:00:00+00:00,34.6301,-84.5271,0.47,-9409513.730232114,4113726.141729457
49A,2023-02-17 08:00:00+00:00,34.6301,-84.5271,0.19,-9409513.730232114,4113726.141729457
49A,2023-02-17 09:00:00+00:00,34.6301,-84.5271,0.64,-9409513.730232114,4113726.141729457
49A,2023-02-17 10:00:00+00:00,34.6301,-84.5271,0.22,-9409513.730232114,4113726.141729457
49A,2023-02-17 11:00:00+00:00,34.6301,-84.5271,0.06,-9409513.730232114,4113726.141729457
49A,2023-02-17 12:00:00+00:00,34.6301,-84.5271,0.02,-9409513.730232114,4113726.141729457
4A6,2023-02-17 01:00:00+00:00,34.6887,-86.0059,0.04,-9574132.993217207,4121656.777799158
4A6,2023-02-17 02:00:00+00:00,34.6887,-86.0059,1.01,-9574132.993217207,4121656.777799158
4A6,2023-02-17 03:00:00+00:00,34.6887,-86.0059,0.44,-9574132.993217207,4121656.777799158
4A6,2023-02-17 04:00:00+00:00,34.6887,-86.0059,0.11,-9574132.993217207,4121656.777799158
4A6,2023-02-17 05:00:00+00:00,34.6887,-86.0059,0.13,-9574132.993217207,4121656.777799158
4A6,2023-02-17 06:00:00+00:00,34.6887,-86.0059,0.03,-9574132.993217207,4121656.777799158
4A6,2023-02-17 07:00:00+00:00,34.6887,-86.0059,0.10,-9574132.993217207,4121656.777799158
4A6,2023-02-17 08:00:00+00:00,34.6887,-86.0059,0.17,-9574132.993217207,4121656.777799158
4A6,2023-02-17 09:00:00+00:00,34.6887,-86.0059,0.07,-9574132.993217207,4121656.777799158
4A6,2023-02-17 10:00:00+00:00,34.6887,-86.0059,0.04,-9574132.993217207,4121656.777799158
4A6,2023-02-17 11:00:00+00:00,34.6887,-86.0059,0.01,-9574132.993217207,4121656.777799158
4A9,2023-02-17 01:00:00+00:00,34.4737,-85.7214,0.02,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 02:00:00+00:00,34.4737,-85.7214,0.26,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 03:00:00+00:00,34.4737,-85.7214,0.34,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 04:00:00+00:00,34.4737,-85.7214,0.07,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 05:00:00+00:00,34.4737,-85.7214,0.16,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 06:00:00+00:00,34.4737,-85.7214,0.23,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 07:00:00+00:00,34.4737,-85.7214,0.08,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 08:00:00+00:00,34.4737,-85.7214,0.28,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 09:00:00+00:00,34.4737,-85.7214,0.14,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 10:00:00+00:00,34.4737,-85.7214,0.05,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 11:00:00+00:00,34.4737,-85.7214,0.01,-9542462.598086521,4092587.1074580555
4A9,2023-02-17 12:00:00+00:00,34.4737,-85.7214,0.01,-9542462.598086521,4092587.1074580555
4I3,2023-02-17 00:00:00+00:00,40.3289,-82.5261,0.06,-9186763.429154774,4913852.874316123
4I3,2023-02-17 01:00:00+00:00,40.3289,-82.5261,0.01,-9186763.429154774,4913852.874316123
4I3,2023-02-17 02:00:00+00:00,40.3289,-82.5261,0.01,-9186763.429154774,4913852.874316123
4I3,2023-02-17 06:00:00+00:00,40.3289,-82.5261,0.01,-9186763.429154774,4913852.874316123
4I3,2023-02-17 07:00:00+00:00,40.3289,-82.5261,0.01,-9186763.429154774,4913852.874316123
54J,2023-02-17 12:00:00+00:00,30.7311,-86.1538,0.26,-9590597.145905534,3597876.3784576054
54J,2023-02-17 13:00:00+00:00,30.7311,-86.1538,0.01,-9590597.145905534,3597876.3784576054
5A6,2023-02-16 22:00:00+00:00,33.465,-89.7302,0.19,-9988720.172778595,3957188.8405362004
5A6,2023-02-17 02:00:00+00:00,33.465,-89.7302,0.11,-9988720.172778595,3957188.8405362004
5A6,2023-02-17 03:00:00+00:00,33.465,-89.7302,0.12,-9988720.172778595,3957188.8405362004
5A6,2023-02-17 04:00:00+00:00,33.465,-89.7302,0.02,-9988720.172778595,3957188.8405362004
5A6,2023-02-17 05:00:00+00:00,33.465,-89.7302,0.01,-9988720.172778595,3957188.8405362004
5R8,2023-02-16 23:00:00+00:00,30.4411,-93.4736,0.06,-10405433.554614138,3560376.0824927427
6B0,2023-02-17 11:00:00+00:00,43.9855,-73.0955,0.01,-8136953.839279728,5463198.54905344
6B0,2023-02-17 12:00:00+00:00,43.9855,-73.0955,0.01,-8136953.839279728,5463198.54905344
6B0,2023-02-17 13:00:00+00:00,43.9855,-73.0955,0.02,-8136953.839279728,5463198.54905344
6B0,2023-02-17 14:00:00+00:00,43.9855,-73.0955,0.09,-8136953.839279728,5463198.54905344
6B0,2023-02-17 15:00:00+00:00,43.9855,-73.0955,0.09,-8136953.839279728,5463198.54905344
6B0,2023-02-17 16:00:00+00:00,43.9855,-73.0955,0.01,-8136953.839279728,5463198.54905344
6B0,2023-02-17 17:00:00+00:00,43.9855,-73.0955,0.02,-8136953.839279728,5463198.54905344
6B0,2023-02-17 18:00:00+00:00,43.9855,-73.0955,0.02,-8136953.839279728,5463198.54905344
6B9,2023-02-17 12:00:00+00:00,42.914,-76.4408,0.02,-8509350.931830466,5298890.917602939
6I2,2023-02-16 22:00:00+00:00,37.6352,-85.2418,0.03,-9489073.770302067,4528019.213960985
79J,2023-02-17 08:00:00+00:00,31.3087,-86.3938,0.0001,-9617313.823695917,3672904.943177898
79J,2023-02-17 09:00:00+00:00,31.3087,-86.3938,0.05,-9617313.823695917,3672904.943177898
79J,2023-02-17 10:00:00+00:00,31.3087,-86.3938,0.01,-9617313.823695917,3672904.943177898
79J,2023-02-17 11:00:00+00:00,31.3087,-86.3938,0.0001,-9617313.823695917,3672904.943177898
79J,2023-02-17 13:00:00+00:00,31.3087,-86.3938,0.03,-9617313.823695917,3672904.943177898
79J,2023-02-17 14:00:00+00:00,31.3087,-86.3938,0.05,-9617313.823695917,3672904.943177898
79J,2023-02-17 15:00:00+00:00,31.3087,-86.3938,0.06,-9617313.823695917,3672904.943177898
79J,2023-02-17 16:00:00+00:00,31.3087,-86.3938,0.0001,-9617313.823695917,3672904.943177898
7W4,2023-02-17 11:00:00+00:00,37.9658,-77.7459,0.02,-8654633.99926477,4574595.625794481
7W4,2023-02-17 12:00:00+00:00,37.9658,-77.7459,0.09,-8654633.99926477,4574595.625794481
7W4,2023-02-17 13:00:00+00:00,37.9658,-77.7459,0.13,-8654633.99926477,4574595.625794481
7W4,2023-02-17 14:00:00+00:00,37.9658,-77.7459,0.12,-8654633.99926477,4574595.625794481
