,Station,OBS Time,Lat,Lon,Current WX,Temperature (F),Wind (mph),peak_wind_gust,Real Feel Temperature,1 Hour Precipitation,WX Code,ptype,color,Time,Max Gust (mph),id,category,description_id,geom,x,y
79,IND,2023-02-16 23:26:00Z,39.7084,-86.3048,Rain,50.00,27.0,32.0,50.00,0.0001,-RA BR,6.0,#169c2f,2023-02-17 00:00:00+00:00,32.0,,,,,-9607406.389015317,4823657.803583627
80,MTO,2023-02-16 23:30:00Z,39.4779,-88.2792,Rain,37.00,14.0,38.0,27.61,0.0001,-RA,6.0,#169c2f,2023-02-17 00:00:00+00:00,38.0,,,,,-9827195.591637557,4790359.678640661
81,OTM,2023-02-16 23:31:00Z,41.1008,-92.4446,Snow and/or Graupel,25.00,19.0,27.0,10.18,0.0001,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,27.0,,,,,-10290885.798587857,5027221.029140241
82,MKE,2023-02-16 23:32:00Z,42.9472,-87.8967,Snow and/or Graupel,30.00,18.0,36.0,17.12,0.03,SN BLSN,1.0,#1f48cf,2023-02-17 00:00:00+00:00,36.0,,,,,-9784615.886409128,5303938.5985906385
83,ESF,2023-02-16 23:36:00Z,31.3963,-92.2827,Rain with Thunderstorm,51.10,8.0,27.0,51.10,0.07,+TSRA,6.0,#169c2f,2023-02-17 00:00:00+00:00,27.0,,,,,-10272863.173028428,3684323.900551117
84,LCH,2023-02-16 23:38:00Z,30.1255,-93.2277,Rain with Thunderstorm,52.00,12.0,31.0,52.00,0.00,VCTS,6.0,#169c2f,2023-02-17 00:00:00+00:00,31.0,,,,,-10378060.09182807,3519691.920207119
85,DBQ,2023-02-16 23:39:00Z,42.3984,-90.7091,Snow and/or Graupel,24.10,20.0,26.0,8.65,0.0001,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,26.0,,,,,-10097690.822316132,5220845.919134472
86,ESF,2023-02-16 23:41:00Z,31.3963,-92.2827,Rain with Thunderstorm,50.00,5.0,27.0,50.00,0.10,-TSRA BR,6.0,#169c2f,2023-02-17 00:00:00+00:00,27.0,,,,,-10272863.173028428,3684323.900551117
87,MBS,2023-02-16 23:44:00Z,43.53,-84.08,-FZDZSN BR,24.10,20.0,28.0,8.65,0.04,-FZDZSN BR,0.0,#000000,2023-02-17 00:00:00+00:00,28.0,,,,,-9359742.785898441,5392994.363605281
88,DBQ,2023-02-16 23:46:00Z,42.3984,-90.7091,Snow and/or Graupel,24.10,17.0,26.0,9.73,0.0001,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,26.0,,,,,-10097690.822316132,5220845.919134472
